# z; xe; Te
8.709209210000000212e+02 8.517054700000000270e-03 2.375739790000000085e+03
8.738738740000000007e+02 8.866686990000000740e-03 2.383817660000000160e+03
8.768268269999999802e+02 9.232358939999999251e-03 2.391894339999999829e+03
8.797797799999999597e+02 9.614701479999999620e-03 2.399969869999999901e+03
8.827327330000000529e+02 1.001436009999999953e-02 2.408044269999999869e+03
8.856856860000000324e+02 1.043199570000000014e-02 2.416117580000000089e+03
8.886386390000000119e+02 1.086828639999999971e-02 2.424189840000000004e+03
8.915915919999999915e+02 1.132392760000000033e-02 2.432261070000000018e+03
8.945445449999999710e+02 1.179963090000000006e-02 2.440331310000000030e+03
8.974974969999999530e+02 1.229612060000000000e-02 2.448400599999999940e+03
