"z","Tad/Tcmb","TkLX1/Tcmb","TkLX2/Tcmb","TkmQ/Tcmb","TkmQ+LX2/Tcmb"
18.5875,0.14589893691926806,0.14738978002235623,0.1481535303058452,0.07325641273479475,0.07551100612137188
18.6,0.145988806211049,0.14748673663456835,0.14824149289890065,0.07333404783587186,0.0755867345237235
18.6125,0.14607867041860048,0.14758369340605648,0.14832956621712917,0.07341169284420135,0.07566258864273004
18.625,0.1461685295018508,0.14768065030754685,0.14841774799432658,0.07348934772075927,0.07573856621323505
18.6375,0.1462583834184861,0.14777760730984008,0.1485060359700588,0.07356701242442099,0.07581466497599368
18.650000000000002,0.1463482321239795,0.14787456438381125,0.14859442788964344,0.07364468691198775,0.0758908826776517
18.6625,0.14643807557161986,0.14797152150040926,0.14868292150413154,0.07372237113821282,0.0759672170707245
18.675,0.1465279137125402,0.14806847863065706,0.14877151457028945,0.07380006505582752,0.07604366591357677
18.6875,0.1466177464957459,0.14816543574565108,0.14886020485058066,0.07387776861556695,0.0761202269704017
18.700000000000003,0.1467075738681425,0.1482623928165612,0.14894899011314758,0.0739554817661954,0.07619689801120047
18.7125,0.14679739577453668,0.14835935020131566,0.14903782041219008,0.0740332044545316,0.07627362909218499
18.725,0.14688721214322087,0.1484563093741822,0.14912650805269353,0.07411093662547384,0.07635023253494651
18.7375,0.1469770229877828,0.1485532684005257,0.14921528603597575,0.07418867822202466,0.0764269412702176
18.75,0.14706682837140211,0.14865022723783602,0.14930415387685902,0.07426642918531534,0.07650375469077225
18.7625,0.14715662835403487,0.14874718584371036,0.14939311109139303,0.07434418945463031,0.07658067219198847
18.775000000000002,0.14724642299245017,0.1488441441758532,0.1494821571968513,0.07442195896743126,0.07665769317183238
18.787499999999998,0.14733621234026545,0.14894110219207587,0.1495712917117269,0.0744997376593808,0.07673481703084224
18.8,0.14742599644798268,0.14903805985029636,0.14966051415572904,0.0745775254643664,0.07681204317211275
18.8125,0.14751577536302354,0.1491350171085387,0.14974982404977885,0.07465532231452354,0.07688937100127885
18.825,0.14760554912976434,0.1492319739249329,0.1498392209160059,0.07473312814025901,0.07696679992650057
18.8375,0.1476953177895708,0.14932893025771438,0.149928704277744,0.07481094287027387,0.07704432935844707
18.85,0.14778508138083257,0.14942588606522392,0.15001827365952786,0.07488876643158636,0.07712195871028164
18.862499999999997,0.147874839938997,0.14952284130590698,0.1501079285870889,0.0749665987486634,0.07719968739675531
18.875,0.14796459349660318,0.1496197959383138,0.15019766858735178,0.0750444397567495,0.0772775148474981
18.8875,0.14805434208331542,0.14971674992109862,0.15028749318843054,0.0751222894439561,0.07735544054907123
18.9,0.14814408572595608,0.14981370321301962,0.1503774019196248,0.07520014780476933,0.07743346399843803
18.9125,0.1482338244485389,0.14991065577293863,0.15046739431141606,0.07527801483135856,0.07751158469423573
18.925,0.1483235582723011,0.1500076075598206,0.15055746989546423,0.07535589051360359,0.07758980213676672
18.9375,0.14841328721573616,0.15010455853273338,0.15064762820460353,0.07543377483912193,0.07766811582798931
18.950000000000003,0.1485030112946254,0.15020150865084755,0.15073786877283915,0.07551166779329557,0.07774652527150933
18.9625,0.14859273052206967,0.1502984578734358,0.15082819113534335,0.07558956935929735,0.07782502997257103
18.975,0.1486824449085213,0.15039540615987285,0.15091859482845205,0.07566747951811789,0.07790362943804863
18.9875,0.14877215446181452,0.15049235346963502,0.15100907938966096,0.07574539824859113,0.07798232317643757
19.,0.14886185918719666,0.15058929976229996,0.15109964435762205,0.0758233255274205,0.07806111069784588
19.012500000000003,0.1489515590873588,0.15068624499754626,0.15119028927213995,0.0759012613292046,0.07813999151398576
19.025000000000002,0.1490412541624657,0.15078318913515323,0.15128101367416835,0.07597920562646249,0.07821896513816515
19.037499999999998,0.14913094441018626,0.15088013213500054,0.15137181710580647,0.07605715838965899,0.07829803108527919
19.050000000000004,0.14922062982572298,0.150977073957068,0.1514626991102954,0.07613511958722965,0.07837718887180206
19.0625,0.14931031040184137,0.1510740145614349,0.15155365923201436,0.07621308918560532,0.07845643801577831
19.075,0.14939998612889946,0.15117095390828023,0.15164469701647773,0.07629106714923688,0.07853577803681515
19.087500000000002,0.1494896569948765,0.151267891957882,0.15173581201033087,0.07636905344061945,0.07861520845607381
19.1,0.14957932298540155,0.151364828670617,0.15182700376134703,0.0764470480203163,0.07869472879626177
19.112499999999997,0.14966898408378218,0.15146175775940018,0.1519183581821129,0.0765250508469829,0.07877442494531363
19.125000000000004,0.1497586402710325,0.15155868185546206,0.15200983790459072,0.07660306187739067,0.07885425951094889
19.1375,0.14984829152590076,0.15165560459145627,0.15210139171995055,0.07668108106644982,0.0789341812604996
19.15,0.14993793782489767,0.1517525259861863,0.1521930183781989,0.0767591083672333,0.07901418892053454
19.1625,0.15002757914232318,0.15184944605840894,0.15228471663244197,0.0768371437309993,0.0790942812211181
19.175,0.1501172154502938,0.1519463648268342,0.15237648523887595,0.07691518710721408,0.07917445689579623
19.1875,0.15020684671876952,0.15204328231012615,0.1524683229567779,0.07699323844357467,0.07925471468158304
19.200000000000003,0.1502964729155807,0.1521401985269025,0.1525602285484959,0.07707129768603133,0.07933505331894652
